# 
# simt, id, lat, lon, alt, tas, vs
0.00000000,PTWYL0,33.09719204,-96.82957354,0.00000000,3.00000000,0.00000000
1.00000000,PTWYL0,33.09721956,-96.82954805,0.80010000,5.07500000,1.52400000
1.00000000,PCOLL0,33.02200533,-96.99358208,0.01143000,3.27500000,0.15240000
2.00000000,PTWYL0,33.09722577,-96.82947536,3.12420000,8.57500000,3.04800000
2.00000000,PCOLL0,33.02203966,-96.99354792,0.96393000,6.77500000,1.67640000
2.00000000,PTWYL1,33.09721739,-96.82955269,0.65151000,4.87500000,1.37160000
3.00000000,PTWYL0,33.09719069,-96.82937255,7.61861000,12.07500000,5.00000000
3.00000000,PCOLL0,33.02207214,-96.99346409,3.44043000,10.27500000,3.20040000
3.00000000,PTWYL1,33.09722771,-96.82948288,2.82321000,8.37500000,2.89560000
4.00000000,PTWYL0,33.09710705,-96.82926235,12.61861000,15.44248319,5.00000000
4.00000000,PCOLL0,33.02211679,-96.99334559,8.11861000,13.77500000,5.00000000
4.00000000,PTWYL1,33.09719858,-96.82937974,7.11861000,11.87500000,5.00000000
5.00000000,PTWYL0,33.09698939,-96.82917525,17.61861000,15.44618967,5.00000000
5.00000000,PCOLL0,33.02217240,-96.99319800,13.11861000,15.44285378,5.00000000
5.00000000,PTWYL1,33.09712131,-96.82926576,12.11861000,15.37500000,5.00000000
6.00000000,PTWYL0,33.09685622,-96.82912989,22.61861000,15.44989746,5.00000000
6.00000000,PCOLL0,33.02222933,-96.99304690,18.11861000,15.44656039,5.00000000
6.00000000,PTWYL1,33.09700777,-96.82917119,17.11861000,15.44581896,5.00000000
6.00000000,PTWYR0,32.77838190,-96.80584127,0.24781400,4.47500000,0.35402222
6.00000000,PCOLL1,33.02201275,-96.99357905,0.10668000,3.77500000,0.53340000
6.00000000,PTWYL2,33.09719634,-96.82957283,0.02286000,3.37500000,0.22860000
7.00000000,PTWYL0,33.09671749,-96.82912268,27.61861000,15.45360655,5.00000000
7.00000000,PCOLL0,33.02228628,-96.99289576,23.11861000,15.45026831,5.00000000
