# 
# simt, id, lat, lon, alt, tas, vs
0.00000000,PNHWR0,32.87094142,-96.81892784,0.00000000,3.00000000,0.00000000
1.00000000,PNHWR0,32.87097788,-96.81892784,0.80010000,5.07500000,1.52400000
2.00000000,PNHWR0,32.87104004,-96.81892784,3.12420000,8.57500000,3.04800000
3.00000000,PNHWR0,32.87113368,-96.81892784,7.61861000,12.07500000,5.00000000
4.00000000,PNHWR0,32.87125874,-96.81892784,12.61861000,15.44248319,5.00000000
5.00000000,PNHWR0,32.87139764,-96.81892784,17.61861000,15.44618967,5.00000000
5.00000000,PI35L0,33.18706041,-97.12695442,0.29718000,4.27500000,0.91440000
6.00000000,PNHWR0,32.87153657,-96.81892784,22.61861000,15.44989746,5.00000000
6.00000000,PI35L0,33.18708191,-97.12689537,2.01168000,7.77500000,2.43840000
7.00000000,PNHWR0,32.87167553,-96.81892784,27.61861000,15.45360655,5.00000000
7.00000000,PI35L0,33.18707105,-97.12679373,5.61861000,11.27500000,5.00000000
7.00000000,PNHWL0,33.02058837,-96.51713740,0.08001000,3.67500000,0.45720000
8.00000000,PNHWR0,32.87181452,-96.81892784,32.61861000,15.45731695,5.00000000
8.00000000,PI35L0,33.18701470,-97.12667065,10.61861000,14.77500000,5.00000000
8.00000000,PNHWL0,33.02063795,-96.51713740,1.33731000,7.17500000,1.98120000
8.00000000,PI30L0,32.77173801,-96.83678320,0.02286000,3.37500000,0.22860000
9.00000000,PNHWR0,32.87195355,-96.81892784,37.61861000,15.46102866,5.00000000
9.00000000,PI35L0,33.18691678,-97.12655443,15.61861000,15.44470692,5.00000000
9.00000000,PNHWL0,33.02071900,-96.51713740,4.11861000,10.67500000,3.50520000
9.00000000,PI30L0,32.77177150,-96.83682007,1.05156000,6.87500000,1.75260000
10.00000000,PNHWR0,32.87209261,-96.81892784,42.61861000,15.46474168,5.00000000
10.00000000,PI35L0,33.18680022,-97.12646420,20.61861000,15.44841419,5.00000000
10.00000000,PNHWL0,33.02083153,-96.51713740,9.11861000,14.17500000,5.00000000
10.00000000,PI30L0,32.77178835,-96.83691014,3.60426000,10.37500000,3.27660000
11.00000000,PNHWR0,32.87223171,-96.81892784,47.61861000,15.46845601,5.00000000
11.00000000,PI35L0,33.18668273,-97.12637555,25.61861000,15.45212276,5.00000000
11.00000000,PNHWL0,33.02096862,-96.51713740,14.11861000,15.44359500,5.00000000
11.00000000,PI30L0,32.77178799,-96.83704076,8.36861000,13.87500000,5.00000000
11.00000000,PBUSL0,32.84909261,-96.56115341,0.19068800,4.67500000,0.23836723
11.00000000,PI35R0,32.80660562,-96.82362643,0.11109000,4.57500000,0.14812095
12.00000000,PNHWR0,32.87237084,-96.81892784,52.61861000,15.47217165,5.00000000
12.00000000,PI35L0,33.18656522,-97.12628689,30.61861000,15.45583263,5.00000000
12.00000000,PNHWL0,33.02110752,-96.51713740,19.11861000,15.44730187,5.00000000
12.00000000,PI30L0,32.77178755,-96.83720259,13.36861000,15.44303908,5.00000000
12.00000000,PBUSL0,32.84915115,-96.56115564,0.42904800,8.17500000,0.23836723
