# 
# simt, id, lat, lon, alt, tas, vs
0.00000000,P635L0,32.79248353,-96.62999304,0.00000000,3.00000000,0.00000000
1.00000000,P635L0,32.79251959,-96.62999935,0.80010000,5.07500000,1.52400000
2.00000000,P635L0,32.79258106,-96.63001038,3.12420000,8.57500000,3.04800000
2.00000000,PTWYL0,33.09720381,-96.82956917,0.13716000,3.87500000,0.60960000
3.00000000,P635L0,32.79267366,-96.63002700,7.61861000,12.07500000,5.00000000
3.00000000,PTWYL0,33.09723150,-96.82951915,1.54686000,7.37500000,2.13360000
3.00000000,PI30L0,32.77176018,-96.83680552,0.72390000,4.97500000,1.44780000
3.00000000,PI35L0,33.18706180,-97.12695283,0.34671000,4.37500000,0.99060000
3.00000000,PCOLR0,33.17379810,-96.64030302,0.07406000,4.07500000,0.14812095
4.00000000,P635L0,32.79279732,-96.63004919,12.61861000,15.44248319,5.00000000
4.00000000,PTWYL0,33.09723301,-96.82942113,4.61861000,10.87500000,5.00000000
4.00000000,PI30L0,32.77176954,-96.83687661,2.97180000,8.47500000,2.97180000
4.00000000,PI35L0,33.18708158,-97.12689174,2.13741000,7.87500000,2.51460000
4.00000000,PCOLR0,33.17382284,-96.64035775,0.22218000,7.57500000,0.14812095
4.00000000,PI30R0,32.89473941,-96.45893404,0.25146000,4.17500000,0.83820000
4.00000000,PCOLR1,33.17378767,-96.64029702,0.02221800,3.37500000,0.14812095
5.00000000,P635L0,32.79293466,-96.63007383,17.61861000,15.44618967,5.00000000
5.00000000,PTWYL0,33.09719200,-96.82929443,9.61861000,14.37500000,5.00000000
5.00000000,PI30L0,32.77176927,-96.83698691,7.36861000,11.97500000,5.00000000
5.00000000,PI35L0,33.18706764,-97.12678954,5.86861000,11.37500000,5.00000000
5.00000000,PCOLR0,33.17381817,-96.64045788,0.37030000,11.07500000,0.14812095
5.00000000,PI30R0,32.89476257,-96.45899079,1.88976000,7.67500000,2.36220000
5.00000000,PCOLR1,33.17382116,-96.64033406,0.17033800,6.87500000,0.14812095
6.00000000,P635L0,32.79307203,-96.63009848,22.61861000,15.44989746,5.00000000
6.00000000,PTWYL0,33.09710753,-96.82916534,14.61861000,15.44396563,5.00000000
6.00000000,PI30L0,32.77176890,-96.83713462,12.36861000,15.44229790,5.00000000
6.00000000,PI35L0,33.18700763,-97.12666770,10.86861000,14.87500000,5.00000000
6.00000000,PCOLR0,33.17376934,-96.64058307,0.51842000,14.57500000,0.14812095
6.00000000,PI30R0,32.89475480,-96.45909142,5.36861000,11.17500000,5.00000000
6.00000000,PCOLR1,33.17383801,-96.64042454,0.31845800,10.37500000,0.14812095
6.00000000,PBUSR0,32.98688276,-96.93857598,0.13716000,3.87500000,0.60960000
7.00000000,P635L0,32.79320944,-96.63012314,27.61861000,15.45360655,5.00000000
7.00000000,PTWYL0,33.09699577,-96.82906778,19.61861000,15.44767263,5.00000000
7.00000000,PI30L0,32.77176848,-96.83729981,17.36861000,15.44600432,5.00000000
7.00000000,PI35L0,33.18690674,-97.12655494,15.86861000,15.44489225,5.00000000
7.00000000,PCOLR0,33.17368693,-96.64072932,0.66654000,18.00000000,0.14812095
7.00000000,PI30R0,32.89471374,-96.45922190,10.36861000,14.67500000,5.00000000
7.00000000,PCOLR1,33.17381775,-96.64055284,0.46657800,13.87500000,0.14812095
7.00000000,PBUSR0,32.98691045,-96.93852602,1.54686000,7.37500000,2.13360000
7.00000000,PI30R1,32.89473941,-96.45893404,0.25146000,4.17500000,0.83820000
8.00000000,P635L0,32.79334688,-96.63014780,32.61861000,15.45731695,5.00000000
8.00000000,PTWYL0,33.09686587,-96.82901042,24.61861000,15.45138094,5.00000000
8.00000000,PI30L0,32.77176807,-96.83746503,22.36861000,15.44971204,5.00000000
8.00000000,PI35L0,33.18678962,-97.12646568,20.86861000,15.44859958,5.00000000
8.00000000,PCOLR0,33.17359652,-96.64088974,0.81466000,18.00000000,0.14812095
8.00000000,PI30R0,32.89466432,-96.45937572,15.36861000,15.44452159,5.00000000
8.00000000,PCOLR1,33.17375145,-96.64070137,0.61469800,17.37500000,0.14812095
8.00000000,PBUSR0,32.98691196,-96.93842812,4.61861000,10.87500000,5.00000000
8.00000000,PI30R1,32.89476257,-96.45899079,1.88976000,7.67500000,2.36220000
8.00000000,P635L1,32.79251097,-96.62999781,0.51816000,4.67500000,1.21920000
9.00000000,P635L0,32.79348435,-96.63017246,37.61861000,15.46102866,5.00000000
9.00000000,PTWYL0,33.09672774,-96.82899589,29.61861000,15.45509055,5.00000000
9.00000000,PI30L0,32.77176766,-96.83763030,27.36861000,15.45342106,5.00000000
9.00000000,PI35L0,33.18667214,-97.12637703,25.86861000,15.45230822,5.00000000
9.00000000,PCOLR0,33.17350612,-96.64105017,0.96278000,18.00000000,0.14812095
9.00000000,PI30R0,32.89461467,-96.45953023,20.36861000,15.44822879,5.00000000
9.00000000,PCOLR1,33.17366103,-96.64086125,0.76281800,18.00000000,0.14812095
9.00000000,PBUSR0,32.98687393,-96.93829991,9.61861000,14.37500000,5.00000000
9.00000000,PI30R1,32.89475480,-96.45909142,5.36861000,11.17500000,5.00000000
9.00000000,P635L1,32.79256888,-96.63000820,2.53746000,8.17500000,2.74320000
9.00000000,PH12R0,32.86873034,-96.71685939,0.34671000,4.37500000,0.99060000
9.00000000,PI35L1,33.18705898,-97.12695590,0.25146000,4.17500000,0.83820000
9.00000000,PCENL0,33.17374668,-96.64011834,0.00381000,3.17500000,0.07620000
10.00000000,P635L0,32.79362186,-96.63019714,42.61861000,15.46474168,5.00000000
10.00000000,PTWYL0,33.09658875,-96.82899330,34.61861000,15.45880148,5.00000000
10.00000000,PI30L0,32.77176725,-96.83779560,32.36861000,15.45713140,5.00000000
10.00000000,PI35L0,33.18655462,-97.12628837,30.86861000,15.45601816,5.00000000
10.00000000,PCOLR0,33.17341571,-96.64121060,1.11090000,18.00000000,0.14812095
10.00000000,PI30R0,32.89456502,-96.45968478,25.36861000,15.45193730,5.00000000
10.00000000,PCOLR1,33.17357041,-96.64102150,0.91093800,18.00000000,0.14812095
10.00000000,PBUSR0,32.98682094,-96.93814845,14.61861000,15.44396563,5.00000000
10.00000000,PI30R1,32.89471374,-96.45922190,10.36861000,14.67500000,5.00000000
10.00000000,P635L1,32.79265792,-96.63002417,6.61861000,11.67500000,5.00000000
10.00000000,PH12R0,32.86875012,-96.71679852,2.13741000,7.87500000,2.51460000
10.00000000,PI35L1,33.18708214,-97.12689896,1.88976000,7.67500000,2.36220000
10.00000000,PCENL0,33.17378175,-96.64014967,0.88011000,6.67500000,1.60020000
10.00000000,PI30R2,32.89473350,-96.45892938,0.10668000,3.77500000,0.53340000
11.00000000,P635L0,32.79375940,-96.63022182,47.61861000,15.46845601,5.00000000
11.00000000,PTWYL0,33.09644972,-96.82899071,39.61861000,15.46251371,5.00000000
11.00000000,PI30L0,32.77176683,-96.83796094,37.36861000,15.46084305,5.00000000
11.00000000,PI35L0,33.18643708,-97.12619968,35.86861000,15.45972941,5.00000000
11.00000000,PCOLR0,33.17332530,-96.64137102,1.25902000,18.00000000,0.14812095
11.00000000,PI30R0,32.89451535,-96.45983937,30.36861000,15.45564711,5.00000000
11.00000000,PCOLR1,33.17347978,-96.64118175,1.05905800,18.00000000,0.14812095
11.00000000,PBUSR0,32.98676747,-96.93799561,19.61861000,15.44767263,5.00000000
11.00000000,PI30R1,32.89466432,-96.45937572,15.36861000,15.44452159,5.00000000
11.00000000,P635L1,32.79277808,-96.63004573,11.61861000,15.17500000,5.00000000
11.00000000,PH12R0,32.86873618,-96.71669669,5.86861000,11.37500000,5.00000000
11.00000000,PI35L1,33.18707437,-97.12679800,5.36861000,11.17500000,5.00000000
11.00000000,PCENL0,33.17380459,-96.64023599,3.28041000,10.17500000,3.12420000
11.00000000,PI30R2,32.89476254,-96.45897684,1.44018000,7.27500000,2.05740000
11.00000000,PI30L1,32.77175667,-96.83679905,0.51816000,4.67500000,1.21920000
12.00000000,P635L0,32.79389697,-96.63024650,52.61861000,15.47217165,5.00000000
12.00000000,PTWYL0,33.09631066,-96.82898812,44.61861000,15.46622725,5.00000000
12.00000000,PI30L0,32.77176642,-96.83812633,42.36861000,15.46455600,5.00000000
12.00000000,PI35L0,33.18631950,-97.12611097,40.86861000,15.46344198,5.00000000
12.00000000,PCOLR0,33.17323489,-96.64153145,1.40714000,18.00000000,0.14812095
12.00000000,PI30R0,32.89446567,-96.45999399,35.36861000,15.45935823,5.00000000
12.00000000,PCOLR1,33.17338915,-96.64134200,1.20717800,18.00000000,0.14812095
12.00000000,PBUSR0,32.98671398,-96.93784273,24.61861000,15.45138094,5.00000000
12.00000000,PI30R1,32.89461467,-96.45953023,20.36861000,15.44822879,5.00000000
12.00000000,P635L1,32.79291537,-96.63007037,16.61861000,15.44544827,5.00000000
12.00000000,PH12R0,32.86867617,-96.71657529,10.86861000,14.87500000,5.00000000
12.00000000,PI35L1,33.18702174,-97.12667380,10.36861000,14.67500000,5.00000000
12.00000000,PCENL0,33.17379311,-96.64036365,7.86861000,13.67500000,5.00000000
12.00000000,PI30R2,32.89476714,-96.45907341,4.36861000,10.77500000,5.00000000
12.00000000,PI30L1,32.77177095,-96.83686538,2.53746000,8.17500000,2.74320000
12.00000000,PBUSR1,32.98689267,-96.93856568,0.45720000,4.57500000,1.14300000
12.00000000,PBUSL0,32.84908461,-96.56115311,0.14301600,4.27500000,0.23836723
13.00000000,P635L0,32.79403458,-96.63027119,57.61861000,15.47588860,5.00000000
13.00000000,PTWYL0,33.09617157,-96.82898554,49.61861000,15.46994211,5.00000000
13.00000000,PI30L0,32.77176601,-96.83829175,47.36861000,15.46827026,5.00000000
13.00000000,PI35L0,33.18620190,-97.12602224,45.86861000,15.46715585,5.00000000
13.00000000,PCOLR0,33.17314449,-96.64169187,1.55526000,18.00000000,0.14812095
13.00000000,PI30R0,32.89441598,-96.46014866,40.36861000,15.46307066,5.00000000
13.00000000,PCOLR1,33.17329852,-96.64150224,1.35529800,18.00000000,0.14812095
13.00000000,PBUSR0,32.98666048,-96.93768981,29.61861000,15.45509055,5.00000000
13.00000000,PI30R1,32.89456502,-96.45968478,25.36861000,15.45193730,5.00000000
13.00000000,P635L1,32.79305274,-96.63009502,21.61861000,15.44915579,5.00000000
13.00000000,PH12R0,32.86857528,-96.71646293,15.86861000,15.44489225,5.00000000
13.00000000,PI35L1,33.18692695,-97.12655421,15.36861000,15.44452159,5.00000000
13.00000000,PCENL0,33.17373875,-96.64051105,12.86861000,15.44266848,5.00000000
13.00000000,PI30R2,32.89473295,-96.45920188,9.36861000,14.27500000,5.00000000
13.00000000,PI30L1,32.77177068,-96.83697247,6.61861000,11.67500000,5.00000000
13.00000000,PBUSR1,32.98690882,-96.93850095,2.40030000,8.07500000,2.66700000
13.00000000,PBUSL0,32.84913955,-96.56115520,0.38137600,7.77500000,0.23836723
13.00000000,PCENR0,32.76811061,-96.78229431,0.30774000,3.57500000,1.23096552
14.00000000,P635L0,32.79417222,-96.63029589,62.61861000,15.47960686,5.00000000
14.00000000,PTWYL0,33.09603245,-96.82898295,54.61861000,15.47365827,5.00000000
14.00000000,PI30L0,32.77176559,-96.83845721,52.36861000,15.47198584,5.00000000
14.00000000,PI35L0,33.18608427,-97.12593349,50.86861000,15.47087103,5.00000000
14.00000000,PCOLR0,33.17305408,-96.64185230,1.70338000,18.00000000,0.14812095
14.00000000,PI30R0,32.89436628,-96.46030335,45.36861000,15.46678440,5.00000000
14.00000000,PCOLR1,33.17320790,-96.64166249,1.50341800,18.00000000,0.14812095
14.00000000,PBUSR0,32.98660697,-96.93753686,34.61861000,15.45880148,5.00000000
14.00000000,PI30R1,32.89451535,-96.45983937,30.36861000,15.45564711,5.00000000
14.00000000,P635L1,32.79319014,-96.63011967,26.61861000,15.45286463,5.00000000
14.00000000,PH12R0,32.86845220,-96.71638732,20.86861000,15.44859958,5.00000000
14.00000000,PI35L1,33.18681124,-97.12646254,20.36861000,15.44822879,5.00000000
14.00000000,PCENL0,33.17365056,-96.64063856,17.86861000,15.44637503,5.00000000
14.00000000,PI30R2,32.89468385,-96.45935468,14.36861000,15.44378031,5.00000000
14.00000000,PI30L1,32.77177032,-96.83711699,11.61861000,15.17500000,5.00000000
14.00000000,PBUSR1,32.98688883,-96.93839819,6.36861000,11.57500000,5.00000000
14.00000000,PBUSL0,32.84922596,-96.56115848,0.61973600,11.27500000,0.23836723
14.00000000,PCENR0,32.76815630,-96.78231428,1.53870000,7.07500000,1.23096552
14.00000000,PCENL1,33.17374668,-96.64011834,0.00381000,3.17500000,0.07620000
15.00000000,P635L0,32.79430989,-96.63032060,67.61861000,15.48332643,5.00000000
15.00000000,PTWYL0,33.09589329,-96.82898035,59.61861000,15.47737574,5.00000000
15.00000000,PI30L0,32.77176518,-96.83862271,57.36861000,15.47570272,5.00000000
