# 
# simt, id, lat, lon, alt, tas, vs
0.00000000,PCOLR0,33.17378337,-96.64029631,0.00000000,3.00000000,0.00000000
1.00000000,PCOLR0,33.17381089,-96.64032182,0.14812000,5.07500000,0.14812095
1.00000000,PBUSL0,32.84906489,-96.56115236,0.00000000,3.00000000,0.00000000
2.00000000,PCOLR0,33.17381710,-96.64039457,0.29624000,8.57500000,0.14812095
2.00000000,PBUSL0,32.84910133,-96.56115375,0.23836000,5.07500000,0.23836723
2.00000000,PI30L0,32.77174398,-96.83678586,0.10668000,3.77500000,0.53340000
2.00000000,PNHWL0,33.02058675,-96.51713740,0.05715000,3.57500000,0.38100000
3.00000000,PCOLR0,33.17378202,-96.64049747,0.44436000,12.07500000,0.14812095
3.00000000,PBUSL0,32.84916346,-96.56115611,0.47672000,8.57500000,0.23836723
3.00000000,PI30L0,32.77177302,-96.83683326,1.44018000,7.27500000,2.05740000
3.00000000,PNHWL0,33.02063543,-96.51713740,1.23825000,7.07500000,1.90500000
3.00000000,PI35R0,32.80660812,-96.82363042,0.12590200,4.77500000,0.14812095
4.00000000,PCOLR0,33.17371233,-96.64062161,0.59248000,15.57500000,0.14812095
4.00000000,PBUSL0,32.84925706,-96.56115966,0.71508000,12.07500000,0.23836723
4.00000000,PI30L0,32.77178007,-96.83692985,4.36861000,10.77500000,5.00000000
4.00000000,PNHWL0,33.02071558,-96.51713740,3.94335000,10.57500000,3.42900000
4.00000000,PI35R0,32.80663471,-96.82369368,0.27402200,8.27500000,0.14812095
4.00000000,PBUSR0,32.98689267,-96.93856568,0.45720000,4.57500000,1.14300000
4.00000000,PCOLR1,33.17379214,-96.64029884,0.04443600,3.67500000,0.14812095
4.00000000,PI30R0,32.89472753,-96.45892671,0.02286000,3.37500000,0.22860000
5.00000000,PCOLR0,33.17362599,-96.64077521,0.74060000,18.00000000,0.14812095
5.00000000,PBUSL0,32.84938211,-96.56116442,0.95344000,15.57500000,0.23836723
5.00000000,PI30L0,32.77177971,-96.83706475,9.36861000,14.27500000,5.00000000
