# 
# simt, id, lat, lon, alt, tas, vs
0.00000000,PI30R0,32.89472323,-96.45892600,0.00000000,3.00000000,0.00000000
1.00000000,PI30R0,32.89475075,-96.45895143,0.80010000,5.07500000,1.52400000
1.00000000,PTWYR0,32.77836733,-96.80584124,0.10620600,3.67500000,0.35402222
2.00000000,PI30R0,32.89475696,-96.45902395,3.12420000,8.57500000,3.04800000
2.00000000,PTWYR0,32.77841691,-96.80584135,0.46022600,7.17500000,0.35402222
2.00000000,P635L0,32.79249416,-96.62999479,0.10668000,3.77500000,0.53340000
2.00000000,P635L1,32.79249252,-96.62999450,0.08001000,3.67500000,0.45720000
3.00000000,PI30R0,32.89472718,-96.45912946,7.61861000,12.07500000,5.00000000
3.00000000,PTWYR0,32.77849796,-96.80584153,0.81424600,10.67500000,0.35402222
3.00000000,P635L0,32.79254407,-96.63000375,1.44018000,7.27500000,2.05740000
3.00000000,P635L1,32.79254154,-96.63000329,1.33731000,7.17500000,1.98120000
3.00000000,PI30L0,32.77173801,-96.83678320,0.02286000,3.37500000,0.22860000
4.00000000,PI30R0,32.89468249,-96.45926856,12.61861000,15.44248319,5.00000000
4.00000000,PTWYR0,32.77861049,-96.80584179,1.16826600,14.17500000,0.35402222
4.00000000,P635L0,32.79262510,-96.63001829,4.36861000,10.77500000,5.00000000
4.00000000,P635L1,32.79262168,-96.63001767,4.11861000,10.67500000,3.50520000
4.00000000,PI30L0,32.77177150,-96.83682007,1.05156000,6.87500000,1.75260000
4.00000000,PI35L0,33.18705007,-97.12696217,0.05715000,3.57500000,0.38100000
5.00000000,PI30R0,32.89463286,-96.45942306,17.61861000,15.44618967,5.00000000
5.00000000,PTWYR0,32.77875449,-96.80584211,1.52228600,17.67500000,0.35402222
5.00000000,P635L0,32.79273726,-96.63003841,9.36861000,14.27500000,5.00000000
5.00000000,P635L1,32.79273295,-96.63003764,9.11861000,14.17500000,5.00000000
5.00000000,PI30L0,32.77178835,-96.83691014,3.60426000,10.37500000,3.27660000
5.00000000,PI35L0,33.18708153,-97.12691969,1.23825000,7.07500000,1.90500000
6.00000000,PI30R0,32.89458321,-96.45957759,22.61861000,15.44989746,5.00000000
6.00000000,PTWYR0,32.77891630,-96.80584248,1.87630600,18.00000000,0.35402222
6.00000000,P635L0,32.79287311,-96.63006279,14.36861000,15.44378031,5.00000000
6.00000000,P635L1,32.79286851,-96.63006196,14.11861000,15.44359500,5.00000000
6.00000000,PI30L0,32.77178799,-96.83704076,8.36861000,13.87500000,5.00000000
6.00000000,PI35L0,33.18709229,-97.12682569,3.94335000,10.57500000,3.42900000
6.00000000,PCOLL0,33.02202895,-96.99355933,0.72390000,4.97500000,1.44780000
7.00000000,PI30R0,32.89453356,-96.45973216,27.61861000,15.45360655,5.00000000
